CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_2_MT;MEDIA_5_MT;MEDIA_9_MT;MEDIA_12_MT;MEDIA_13_MT;MEDIA_14_MT;nivel_0_MT2;nivel_1_MT2;nivel_2_MT2;nivel_3_MT2;nivel_4_MT2;nivel_5_MT2;nivel_6_MT2;nivel_7_MT2;nivel_8_MT2;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9
1;Rondônia;Privada;Rural;746,53;219,84;255,63;;282,68;282,68;2,13;4,26;10,64;12,77;19,15;25,53;17,02;6,38;2,13;2,61;3,27;5,23;17,65;31,37;22,22;7,19;6,54;2,61;1,31;0;13,15;12,77;11,76;28,12;18,38;10,2;3,58;0;2,02;0
1;Rondônia;Privada;Total;771,45;237,33;286,87;316,47;285,48;309,57;2,07;1,68;2,63;8,71;15,53;18,28;21,6;19,72;9,78;0,28;1,96;5,19;11,98;21,68;21,98;17,32;10,51;6,34;2,77;0;4,22;6,53;8,17;15,55;25,22;20,97;12,83;4,14;2,35;0
1;Rondônia;Privada;Urbana;772,88;238,43;290,71;316,47;308,82;316,24;2,07;1,53;2,17;8,48;15,32;17,87;21,86;20,48;10,22;0,13;1,87;5,19;11,62;21,07;21,96;17,96;10,76;6,57;2,87;0;3,12;5,77;7,73;14;26,06;22,29;13,97;4,65;2,4;0
1;Rondônia;Pública;Rural;688,4;189,8;247,58;256,57;294;286,01;23,36;15,48;23,27;18,64;12,19;2,05;2,75;1,69;0,56;3,84;12,86;22,6;23,04;18,57;11,44;4,98;2;0,48;0,18;0;14,15;15,39;20,68;24,01;15,31;7,59;2,19;0,59;0,09;0
1;Rondônia;Pública;Total;713,4;200,52;248,21;264,92;294;267,27;10,93;9,89;16,86;23,4;19,36;10,41;3,08;3,9;2,16;2,29;8,91;18,26;22,71;20,63;14,08;8,16;3,52;1,09;0,34;0;14,83;15,92;20,13;19,94;16,75;8,89;2,82;0,61;0,12;0
1;Rondônia;Pública;Urbana;716,48;202,42;248,28;265,13;;265,13;9,4;9,2;16,07;23,99;20,24;11,44;3,12;4,18;2,36;2,02;8,21;17,49;22,65;20,99;14,55;8,72;3,79;1,2;0,36;0;14,91;15,97;20,06;19,48;16,91;9,04;2,89;0,61;0,12;0
1;Rondônia;Total;Rural;692,15;191,04;248,23;256,57;292,43;285,63;21,99;14,75;22,45;18,27;12,64;3,57;3,67;1,99;0,66;3,79;12,46;21,88;22,82;19,1;11,88;5,07;2,19;0,57;0,23;0;14,07;15,18;19,95;24,34;15,56;7,8;2,3;0,54;0,25;0
1;Rondônia;Total;Total;720,51;204,17;251,13;267,62;292,7;269,87;9,84;8,89;15,12;21,6;18,89;11,37;5,35;5,84;3,1;2,09;8,22;16,96;21,65;20,73;14,87;9,07;4,21;1,61;0,58;0;14,03;15,21;19,22;19,61;17,39;9,8;3,58;0,88;0,29;0
1;Rondônia;Total;Urbana;723,76;206,34;251,46;267,88;308,82;267,95;8,45;8,21;14,27;21,99;19,61;12,27;5,54;6,28;3,38;1,81;7,52;16,15;21,45;21;15,36;9,72;4,55;1,79;0,63;0;14,03;15,21;19,14;19,07;17,59;10,03;3,72;0,92;0,29;0
2;Acre;Privada;Total;777,62;252,27;296,44;323,14;;323,14;0,79;1,67;2,26;7,2;12,81;23,67;17,82;17,15;16,63;0;0,74;1,98;10,03;15,63;19,77;18,85;19,25;10,19;3,07;0,5;3,23;3,35;8,74;14,82;20,37;23,72;13,86;8,59;3,33;0
2;Acre;Privada;Urbana;777,62;252,27;296,44;323,14;;323,14;0,79;1,67;2,26;7,2;12,81;23,67;17,82;17,15;16,63;0;0,74;1,98;10,03;15,63;19,77;18,85;19,25;10,19;3,07;0,5;3,23;3,35;8,74;14,82;20,37;23,72;13,86;8,59;3,33;0
2;Acre;Pública;Rural;714,93;185,06;229,3;249,69;285,82;252,04;11,41;13,36;15,33;20,43;16,61;8,73;6,95;5,05;2,14;3,99;15,33;25,6;22,42;16,37;9,79;4,75;1,1;0,6;0,06;0;28,65;17,22;20,06;17,95;11,78;3,45;0,79;0,1;0;0
2;Acre;Pública;Total;726,7;204,33;244,82;264,23;287,84;265,42;6,88;12,85;10,2;20,27;17,41;13,34;10,73;5,78;2,54;2,27;8,13;16,87;21,35;20,28;15,88;8,94;3,98;1,85;0,44;0;17,67;15,9;19,47;19,82;16,44;7,71;2,23;0,67;0,08;0
2;Acre;Pública;Urbana;728,95;208,08;249,21;265,62;288,1;266,72;6,01;12,75;9,22;20,24;17,56;14,22;11,45;5,92;2,62;1,93;6,73;15,17;21,15;21,04;17,07;9,75;4,54;2,1;0,52;0;14,56;15,53;19,3;20,35;17,76;8,92;2,64;0,83;0,11;0
2;Acre;Total;Rural;714,93;185,06;229,3;249,69;285,82;252,04;11,41;13,36;15,33;20,43;16,61;8,73;6,95;5,05;2,14;3,99;15,33;25,6;22,42;16,37;9,79;4,75;1,1;0,6;0,06;0;28,65;17,22;20,06;17,95;11,78;3,45;0,79;0,1;0;0
2;Acre;Total;Total;729,51;207,33;247,12;267,31;287,84;268,3;6,54;12,23;9,76;19,55;17,16;13,91;11,12;6,41;3,32;2,13;7,67;15,94;20,64;19,99;16,12;9,56;4,94;2,37;0,61;0,03;17,02;15,34;18,99;19,6;16,62;8,43;2,75;1,02;0,23;0
